gender,age,study_hours,attendance,sleep_hours,previous_grade,internet_access,parent_education,family_income,extra_classes,assignments_completed,participation,final_score,pass_fail,study_efficiency,homework_ratio,academic_engagement_score,sleep_quality_index,grade_trend,risk_index
female,18,5,93.55,7.0,27.5,no,higher,medium,yes,92.8,73.33,30,0,4.6775,0.9279999999999999,0.8492600000000001,0.875,-27.5,8.057500000000001
female,17,5,95.7,7.0,25.0,yes,primary,medium,no,95.2,73.33,30,0,4.785,0.9520000000000001,0.8650600000000002,0.875,-30.0,6.704999999999998
female,15,5,89.25,7.0,37.5,yes,primary,high,yes,34.0,60.0,50,1,4.4624999999999995,0.34,0.629,0.875,-17.5,24.2625
female,15,8,97.85,8.0,72.5,yes,secondary,medium,yes,97.6,46.67,75,1,7.827999999999999,0.976,0.85754,1.0,17.5,1.3525000000000034
female,16,5,95.7,8.0,40.0,no,secondary,medium,yes,95.2,60.0,50,1,4.785,0.9520000000000001,0.8384000000000001,1.0,-15.0,6.704999999999998
male,16,5,89.25,8.0,75.0,yes,higher,high,yes,88.0,73.33,75,1,4.4624999999999995,0.88,0.81766,1.0,20.0,10.7625
male,16,5,100.0,7.0,60.0,yes,middle,high,no,100.0,80.0,55,1,5.0,1.0,0.91,0.875,5.0,4.0
female,17,5,93.55,6.0,27.5,no,higher,medium,yes,92.8,60.0,30,0,4.6775,0.9279999999999999,0.8226000000000001,0.75,-27.5,8.057500000000001
male,15,5,100.0,6.0,85.0,yes,middle,high,yes,100.0,53.33,95,1,5.0,1.0,0.85666,0.75,30.0,4.0
male,15,5,100.0,8.0,72.5,yes,higher,medium,yes,100.0,73.33,75,1,5.0,1.0,0.89666,1.0,17.5,4.0
female,15,5,100.0,6.0,45.0,yes,higher,medium,yes,100.0,60.0,45,1,5.0,1.0,0.87,0.75,-10.0,4.0
female,15,8,95.7,8.0,55.0,yes,middle,medium,no,95.2,60.0,60,1,7.656000000000001,0.9520000000000001,0.8684000000000001,1.0,0.0,2.7049999999999983
male,15,2,97.85,8.0,70.0,yes,higher,high,yes,97.6,66.67,70,1,1.9569999999999999,0.976,0.83754,1.0,15.0,17.352500000000003
male,15,5,97.85,7.0,50.0,yes,higher,medium,yes,97.6,80.0,55,1,4.8925,0.976,0.8942,0.875,-5.0,5.352500000000004
male,15,8,100.0,7.0,75.0,yes,middle,medium,no,100.0,73.33,80,1,8.0,1.0,0.92666,0.875,20.0,0.0
female,16,2,95.7,6.0,70.0,yes,higher,medium,no,95.2,80.0,70,1,1.9140000000000001,0.9520000000000001,0.8484000000000002,0.75,15.0,18.705
female,16,8,93.55,6.0,67.5,yes,higher,medium,yes,92.8,53.33,70,1,7.484,0.9279999999999999,0.8392600000000001,0.75,12.5,4.057500000000001
female,16,5,95.7,8.0,45.0,no,secondary,medium,yes,95.2,66.67,50,1,4.785,0.9520000000000001,0.8517400000000002,1.0,-10.0,6.704999999999998
male,17,2,82.8,8.0,27.5,yes,middle,medium,no,26.8,100.0,25,0,1.656,0.268,0.6315999999999999,1.0,-27.5,40.32
male,16,2,95.7,8.0,45.0,yes,higher,high,yes,95.2,46.67,50,1,1.9140000000000001,0.9520000000000001,0.7817400000000001,1.0,-10.0,18.705
male,15,5,100.0,6.0,67.5,yes,higher,medium,no,100.0,60.0,75,1,5.0,1.0,0.87,0.75,12.5,4.0
male,15,2,100.0,8.0,67.5,yes,higher,medium,yes,100.0,73.33,75,1,2.0,1.0,0.86666,1.0,12.5,16.0
male,16,5,97.85,8.0,75.0,yes,secondary,high,no,97.6,66.67,80,1,4.8925,0.976,0.86754,1.0,20.0,5.352500000000004
male,16,5,100.0,8.0,65.0,yes,middle,high,no,100.0,86.67,60,1,5.0,1.0,0.92334,1.0,10.0,4.0
