gender,age,study_hours,attendance,sleep_hours,previous_grade,internet_access,parent_education,family_income,extra_classes,assignments_completed,participation,final_score,pass_fail
female,18,5,93.55,7.0,27.5,no,higher,medium,yes,92.8,73.33,30,0
female,17,5,95.7,7.0,25.0,yes,primary,medium,no,95.2,73.33,30,0
female,15,5,89.25,7.0,37.5,yes,primary,high,yes,34.0,60.0,50,1
female,15,8,97.85,8.0,72.5,yes,secondary,medium,yes,97.6,46.67,75,1
female,16,5,95.7,8.0,40.0,no,secondary,medium,yes,95.2,60.0,50,1
male,16,5,89.25,8.0,75.0,yes,higher,high,yes,88.0,73.33,75,1
male,16,5,100.0,7.0,60.0,yes,middle,high,no,100.0,80.0,55,1
female,17,5,93.55,6.0,27.5,no,higher,medium,yes,92.8,60.0,30,0
male,15,5,100.0,6.0,85.0,yes,middle,high,yes,100.0,53.33,95,1
male,15,5,100.0,8.0,72.5,yes,higher,medium,yes,100.0,73.33,75,1
female,15,5,100.0,6.0,45.0,yes,higher,medium,yes,100.0,60.0,45,1
female,15,8,95.7,8.0,55.0,yes,middle,medium,no,95.2,60.0,60,1
male,15,2,97.85,8.0,70.0,yes,higher,high,yes,97.6,66.67,70,1
male,15,5,97.85,7.0,50.0,yes,higher,medium,yes,97.6,80.0,55,1
male,15,8,100.0,7.0,75.0,yes,middle,medium,no,100.0,73.33,80,1
female,16,2,95.7,6.0,70.0,yes,higher,medium,no,95.2,80.0,70,1
female,16,8,93.55,6.0,67.5,yes,higher,medium,yes,92.8,53.33,70,1
female,16,5,95.7,8.0,45.0,no,secondary,medium,yes,95.2,66.67,50,1
male,17,2,82.8,8.0,27.5,yes,middle,medium,no,26.8,100.0,25,0
male,16,2,95.7,8.0,45.0,yes,higher,high,yes,95.2,46.67,50,1
male,15,5,100.0,6.0,67.5,yes,higher,medium,no,100.0,60.0,75,1
male,15,2,100.0,8.0,67.5,yes,higher,medium,yes,100.0,73.33,75,1
male,16,5,97.85,8.0,75.0,yes,secondary,high,no,97.6,66.67,80,1
male,16,5,100.0,8.0,65.0,yes,middle,high,no,100.0,86.67,60,1
female,15,8,97.85,8.0,47.5,yes,secondary,low,yes,97.6,60.0,40,1
female,16,2,84.95,8.0,37.5,yes,middle,medium,yes,47.2,33.33,40,1
male,15,2,97.85,8.0,60.0,yes,middle,medium,yes,97.6,53.33,55,1
male,15,2,95.7,6.0,77.5,yes,secondary,medium,yes,95.2,53.33,75,1
male,16,5,95.7,8.0,55.0,yes,higher,high,yes,95.2,73.33,55,1
male,16,5,82.8,8.0,55.0,yes,higher,medium,yes,80.8,86.67,55,1
male,15,5,100.0,8.0,50.0,yes,higher,medium,yes,100.0,73.33,60,1
male,15,5,100.0,8.0,82.5,yes,higher,medium,no,100.0,53.33,85,1
male,15,5,100.0,8.0,82.5,yes,higher,low,no,100.0,73.33,80,1
male,15,5,100.0,6.0,45.0,yes,secondary,high,no,100.0,66.67,60,1
male,16,2,100.0,8.0,65.0,yes,middle,medium,yes,100.0,80.0,75,1
female,15,2,100.0,8.0,37.5,no,middle,medium,no,100.0,60.0,30,0
male,15,8,97.85,8.0,77.5,yes,higher,high,no,97.6,80.0,90,1
